YearStart,Question,Data_Value
2015,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,46
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,45.4
2015,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,38.4
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,37.9
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,40.5
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,54.2
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,12
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,26.1
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,42
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,48.3
2015,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,41.6
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,46.4
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,37.6
2015,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,42.3
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,
2015,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,
2015,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,36.8
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,51.8
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores,44.7
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,
2015,Percentage of older adults with subjective cognitive decline or memory loss who reported talking with a health care professional about it,43
2015,Percentage of older adults who reported that as a result of subjective cognitive decline or memory loss that they need assistance with day-to-day activities,19.6
2015,Percentage of older adults who reported subjective cognitive decline or memory loss that is happening more often or is getting worse in the preceding 12 months,19.5
